xi,yi,zi,xo,yo,zo
2.246263892152889241e+02,2.228011529347165565e-01,1.013513147917822987e+00,2.429601832549434164e+02,1.251361059783952356e+01,1.791999999999999815e+00
2.266315710867391431e+02,2.340680737409289724e-01,1.027024102261501870e+00,2.451288369727064094e+02,1.253315143036943802e+01,1.806554392353208804e+00
2.286367451162827535e+02,2.458620661867670365e-01,1.040530669456893431e+00,2.472974957966808347e+02,1.255236740707640486e+01,1.820671825216204631e+00
2.306419112565846490e+02,2.581939976555123750e-01,1.054030655929852234e+00,2.494661658799391830e+02,1.257106350442932019e+01,1.834341374601729857e+00
2.326470694603095239e+02,2.710747355302268180e-01,1.067521868106236393e+00,2.516348533755543997e+02,1.258904469889730038e+01,1.847552116522531040e+00
2.346522195787564726e+02,2.845025376818794416e-01,1.081002112411900695e+00,2.538035644365991175e+02,1.260611596694932857e+01,1.860293126991352519e+00
2.366573606696959473e+02,2.983769495899827873e-01,1.094469195272701700e+00,2.559723052161459123e+02,1.262208228505412322e+01,1.872553482020937743e+00
2.386624914170974421e+02,3.125510172017309518e-01,1.107920923114495082e+00,2.581410818672676442e+02,1.263674862968089130e+01,1.884322257624032826e+00
2.406676105027422068e+02,3.268775141921186900e-01,1.121355102363137402e+00,2.603099005430369175e+02,1.264991997729843654e+01,1.895588529813381662e+00
2.426727166084110934e+02,3.412092142361849989e-01,1.134769539444484554e+00,2.624787673965265071e+02,1.266140130437579181e+01,1.906341374601729477e+00
2.446778084158852096e+02,3.553988910088806685e-01,1.148162040784392879e+00,2.646476885808092447e+02,1.267099758738211257e+01,1.916569868001821497e+00
2.466828846069454073e+02,3.692993181852446405e-01,1.161530412808718271e+00,2.668166702489575641e+02,1.267851380278603202e+01,1.926263086026399840e+00
2.486879438633728228e+02,3.827632694403158009e-01,1.174872461943316626e+00,2.689857185540443538e+02,1.268375492705671270e+01,1.935410104688211508e+00
2.506929848669485921e+02,3.956435184491768342e-01,1.188185994614044505e+00,2.711548396491421045e+02,1.268652593666300099e+01,1.943999999999999950e+00
2.526980062994532261e+02,4.077928388866028930e-01,1.201468817246757137e+00,2.733240396873238183e+02,1.268663180807401858e+01,1.952021847974510393e+00
2.547030068426684295e+02,4.190640044278965970e-01,1.214718736267311971e+00,2.754933248216620427e+02,1.268387751775856920e+01,1.959464724624488507e+00
2.567079851783747699e+02,4.293097887478330432e-01,1.227933558101563793e+00,2.776627012052297232e+02,1.267806804218581540e+01,1.966317705962675966e+00
2.587129399883532983e+02,4.383829655214949717e-01,1.241111089175369830e+00,2.798321749910990661e+02,1.266900835782447388e+01,1.972569868001820659e+00
2.607178699543851508e+02,4.461363084240092536e-01,1.254249135914585311e+00,2.820017523323431874e+02,1.265650344114370718e+01,1.978210286754665592e+00
2.627227737582510940e+02,4.524225911301508751e-01,1.267345504745066576e+00,2.841714393820346345e+02,1.264035826861241141e+01,1.983228038233955992e+00
2.647276500817324063e+02,4.570945873151345817e-01,1.280398002092669518e+00,2.863412422932461823e+02,1.262037781669948089e+01,1.987612198452434864e+00
2.667324976066099680e+02,4.600050706538673095e-01,1.293404434383250923e+00,2.885111672190506056e+02,1.259636706187389876e+01,1.991351843422849210e+00
2.687373150146648300e+02,4.610068148214319095e-01,1.306362608042666684e+00,2.906812203125203951e+02,1.256813098060482758e+01,1.994436049157942925e+00
2.707421009876780431e+02,4.599525934928232473e-01,1.319270329496772032e+00,2.928514077267283255e+02,1.253547454936098404e+01,1.996853891670459902e+00
2.727468542074303741e+02,4.566951803428163648e-01,1.332125405171423971e+00,2.950217356147473993e+02,1.249820274461153069e+01,1.998594446973145367e+00
2.747515733557032718e+02,4.510873490468897962e-01,1.344925641492478841e+00,2.971921749617890782e+02,1.245590102404618271e+01,1.999646791078743657e+00
2.767562571142772754e+02,4.429818732796866887e-01,1.357668844885791870e+00,2.993622540755995942e+02,1.240539164013746465e+01,2.000000000000000000e+00
2.787609041649336064e+02,4.322315267163338581e-01,1.370352821777219177e+00,3.015311987240929170e+02,1.234160838319520437e+01,2.000000000000000000e+00
2.807655131894534861e+02,4.186890830319140999e-01,1.382975378592617544e+00,3.036982288140106903e+02,1.225944845792833604e+01,2.000000000000000000e+00
2.827700828696176245e+02,4.022073159012463650e-01,1.395534321757842644e+00,3.058625642520947849e+02,1.215380906904626990e+01,2.000000000000000000e+00
2.847746118872070156e+02,3.826389989995015450e-01,1.408027457698751039e+00,3.080234249450866173e+02,1.201958742125819768e+01,2.000000000000000000e+00
2.867790989240028239e+02,3.598369060016304299e-01,1.420452592841197292e+00,3.101800307997284563e+02,1.185168071927357936e+01,2.000000000000000000e+00
2.887835426617859866e+02,3.336538105826719613e-01,1.432807533611039963e+00,3.123316017227616612e+02,1.164498616780151607e+01,2.000000000000000000e+00
2.907879417823375547e+02,3.039424864175770402e-01,1.445090086434132948e+00,3.144773576209282169e+02,1.139440097155137899e+01,2.000000000000000000e+00
2.927922949674385222e+02,2.705557071813844416e-01,1.457298057736334140e+00,3.166165184009698805e+02,1.109482233523235806e+01,2.000000000000000000e+00
2.947966008988698832e+02,2.333462465491331350e-01,1.469429253943498326e+00,3.187483039696282958e+02,1.074114746355378180e+01,2.000000000000000000e+00
2.968008089109380307e+02,1.916583602668924247e-01,1.481481481481481621e+00,3.208718423166336606e+02,1.032839650290278222e+01,2.000000000000000000e+00
2.988044926265246772e+02,1.409646572114717222e-01,1.493452546776140588e+00,3.229849309509231148e+02,9.853369156439626408e+00,2.000000000000000000e+00
3.008070528696563315e+02,7.495708136151306433e-02,1.505340256253331344e+00,3.250843656490008584e+02,9.314204973601881932e+00,2.000000000000000000e+00
3.028078895503187482e+02,-1.268184235338694343e-02,1.517142416338910449e+00,3.271669176846839946e+02,8.709076276884147205e+00,2.000000000000000000e+00
3.048064025784972841e+02,-1.282695890037635900e-01,1.528856833458732467e+00,3.292293583317891148e+02,8.036155388780798603e+00,2.000000000000000000e+00
3.068019918641776940e+02,-2.781236336599763881e-01,1.540481314038655514e+00,3.312684588641336632e+02,7.293614631786258684e+00,2.000000000000000000e+00
3.087940573173454482e+02,-4.685614513926484870e-01,1.552013664504533930e+00,3.332809905555342880e+02,6.479626328395215573e+00,2.000000000000000000e+00
3.107819988479863582e+02,-7.059005172720075327e-01,1.563451691282224720e+00,3.352637246798081492e+02,5.592362801102133574e+00,2.000000000000000000e+00
3.127652163660856104e+02,-9.964583063687206810e-01,1.574793200797583337e+00,3.372134325107721793e+02,4.629996372401436133e+00,2.000000000000000000e+00
3.147430933809934004e+02,-1.346531636687426703e+00,1.586035999476466785e+00,3.391268853222433108e+02,3.590699364787632408e+00,2.000000000000000000e+00
3.167137006477458954e+02,-1.760763874918209515e+00,1.597177893744730959e+00,3.410008543880385332e+02,2.472644100755101437e+00,2.000000000000000000e+00
3.186728585482126732e+02,-2.240963978881913121e+00,1.608216690028231310e+00,3.428321109819746084e+02,1.274002902798572867e+00,2.000000000000000000e+00
3.206161662891227024e+02,-2.788662330033562231e+00,1.619150194752824623e+00,3.446173722714657401e+02,-6.888025932170254925e-03,2.000000000000000000e+00
3.225392230772055200e+02,-3.405389309828182220e+00,1.629976214344366348e+00,3.463522188739822241e+02,-1.368250032987775588e+00,2.000000000000000000e+00
3.244376281191900944e+02,-4.092675299720885285e+00,1.640692555228712823e+00,3.480311517524447709e+02,-2.805034344732415086e+00,2.000000000000000000e+00
3.263069806218059625e+02,-4.852050681166521606e+00,1.651297023831721056e+00,3.496486291518589269e+02,-4.312062800996655731e+00,2.000000000000000000e+00
3.281428797917824909e+02,-5.685045835620071486e+00,1.661787426579245830e+00,3.511991093172299543e+02,-5.884157241610625810e+00,2.000000000000000000e+00
3.299409248358487616e+02,-6.593191144536515225e+00,1.672161569897143041e+00,3.526770504935627173e+02,-7.516139506404802439e+00,2.000000000000000000e+00
3.316967149607339707e+02,-7.578016989371098688e+00,1.682417260211270360e+00,3.540769109258631602e+02,-9.202831435209665401e+00,2.000000000000000000e+00
3.334058493731676549e+02,-8.641053751578494868e+00,1.692552303947482795e+00,3.553931488591363177e+02,-1.093905486785525660e+01,2.000000000000000000e+00
3.350638866148365764e+02,-9.783350522349861578e+00,1.702564507531636906e+00,3.566202749211587957e+02,-1.271965094445437749e+01,2.000000000000000000e+00
3.366660981284741183e+02,-1.100255843919283727e+01,1.712451677389588589e+00,3.577559736735773299e+02,-1.454063023197081073e+01,2.000000000000000000e+00
3.382076317558135656e+02,-1.229486576253783880e+01,1.722211619947193295e+00,3.588028671650022829e+02,-1.639982250031078337e+01,2.000000000000000000e+00
3.396836348564676200e+02,-1.365645504670048460e+01,1.731842141630308252e+00,3.597640042718767859e+02,-1.829521478287381342e+01,2.000000000000000000e+00
3.410892547900493241e+02,-1.508350884599630248e+01,1.741341048864789132e+00,3.606424338706442541e+02,-2.022479411305937802e+01,2.000000000000000000e+00
3.424196389161718912e+02,-1.657220971474051296e+01,1.750706148076491386e+00,3.614412048377472502e+02,-2.218654752426699872e+01,2.000000000000000000e+00
