x_in,y_in,z_in,x_out,y_out,z_out
74.213538,71.065125,0.000000,82.154291,78.181620,0.000000
74.140263,72.073256,0.000000,82.035518,79.293646,0.000000
74.053110,73.080279,0.000000,81.921311,80.406145,0.000000
73.961715,74.086950,0.000000,81.810902,81.519033,0.000000
73.875640,75.094067,0.000000,81.703523,82.632215,0.000000
73.800251,76.102014,0.000000,81.598407,83.745614,0.000000
73.733650,77.110586,0.000000,81.494788,84.859154,0.000000
73.673206,78.119548,0.000000,81.391899,85.972761,0.000000
73.616272,79.128718,0.000000,81.288973,87.086365,0.000000
73.560197,80.137931,0.000000,81.185250,88.199895,0.000000
73.502793,81.147085,0.000000,81.080283,89.313305,0.000000
73.443666,82.156130,0.000000,80.974173,90.426609,0.000000
73.382859,83.165084,0.000000,80.867072,91.539816,0.000000
73.320414,84.173930,0.000000,80.759131,92.652945,0.000000
73.256374,85.182682,0.000000,80.650503,93.766004,0.000000
73.190780,86.191330,0.000000,80.541340,94.879013,0.000000
73.123675,87.199881,0.000000,80.431795,95.991982,0.000000
73.055099,88.208333,0.000000,80.322020,97.104931,0.000000
72.985094,89.216683,0.000000,80.212166,98.217870,0.000000
72.913700,90.224943,0.000000,80.102387,99.330818,0.000000
72.840960,91.233098,0.000000,79.992835,100.443788,0.000000
72.766881,92.241163,0.000000,79.883662,101.556795,0.000000
72.691338,93.249111,0.000000,79.775020,102.669854,0.000000
72.614165,94.256942,0.000000,79.667062,103.782979,0.000000
72.535202,95.264629,0.000000,79.559939,104.896185,0.000000
72.454285,96.272164,0.000000,79.453806,106.009486,0.000000
72.371251,97.279525,0.000000,79.348813,107.122895,0.000000
72.285939,98.286696,0.000000,79.245113,108.236425,0.000000
72.198187,99.293658,0.000000,79.142461,109.350048,0.000000
72.107833,100.300389,0.000000,79.039190,110.463615,0.000000
72.014715,101.306868,0.000000,78.933313,111.576934,0.000000
71.918674,102.313074,0.000000,78.822850,112.689812,0.000000
71.819551,103.318977,0.000000,78.705817,113.802024,0.000000
71.717183,104.324561,0.000000,78.579148,114.913198,0.000000
71.611416,105.329784,0.000000,78.437770,116.022616,0.000000
71.502089,106.334639,0.000000,78.276379,117.129226,0.000000
71.389049,107.339067,0.000000,78.089612,118.231894,0.000000
71.272136,108.343072,0.000000,77.872152,119.328811,0.000000
71.151233,109.346598,0.000000,77.618693,120.418010,0.000000
71.026873,110.349704,0.000000,77.324146,121.496812,0.000000
70.900168,111.352571,0.000000,76.983817,122.561859,0.000000
70.772273,112.355165,0.000000,76.593329,123.609953,0.000000
70.644290,113.357939,0.000000,76.149816,124.636364,0.000000
70.517409,114.360606,0.000000,75.651358,125.637573,0.000000
70.385184,115.362636,0.000000,75.096360,126.608537,0.000000
70.221887,116.359960,0.000000,74.483011,127.543452,0.000000
70.000121,117.345450,0.000000,73.809126,128.436056,0.000000
69.698428,118.310741,0.000000,73.073551,129.278026,0.000000
69.304455,119.241735,0.000000,72.275131,130.060913,0.000000
